Mapping Coverage,96.09

Input Path,Failed Mapping Count
clearingConfirmed.trade.swap.swapStream.settlementProvision.nonDeliverableSettlement.referenceCurrency,6
clearingConfirmed.trade.swap.swapStream.resetDates.resetDatesAdjustments.businessCentersReference.href,14
clearingConfirmed.trade.tradeHeader.size,2
clearingConfirmed.trade.swaption.swap.swapStream.calculationPeriodDates.calculationPeriodDatesAdjustments.businessCentersReference.href,8
clearingConfirmed.trade.tradeHeader.partyTradeInformation.accountReference.href,19
clearingConfirmed.trade.tradeHeader.terminatingEvent,1
clearingConfirmed.trade.swaption.swap.swapStream.resetDates.resetDatesAdjustments.businessCentersReference.href,4
clearingConfirmed.trade.swaption.swap.swapStream.calculationPeriodDates.terminationDate.dateAdjustments.businessCentersReference.href,8
clearingConfirmed.trade.tradeHeader.partyTradeInformation.category,19
clearingConfirmed.trade.tradeHeader.partyTradeInformation.category.categoryScheme,19
clearingConfirmed.trade.tradeHeader.originatingEvent,18
clearingConfirmed.trade.swap.swapStream.calculationPeriodDates.calculationPeriodDatesAdjustments.businessCentersReference.href,26
clearingConfirmed.trade.swap.swapStream.calculationPeriodDates.terminationDate.dateAdjustments.businessCentersReference.href,24
