Mapping Coverage,11.96

Input Path,Failed Mapping Count
answers.partyA.amendment_to_termination_currency.is_applicable,18
answers.partyA.cash_settlement_day.specify,2
answers.partyA.segregated_securities_account_and_security-taker_rights_event.party_a_segregated_securities_account,1
answers.partyA.emir.partyA_obligee,6
answers.partyA.custodian_and_segregated_account_details.partyB_cash,6
answers.partyA.clearstream_event.definition,2
answers.partyA.access_conditions.partyA_tax_event_upon_merger,18
answers.partyA.ee_end_date.after_specify,1
answers.partyA.process_agent.partyA_process_agent,12
answers.partyA.japan.partyA_security_taker,6
answers.partyA.sec.additional_type,1
answers.partyA.amendment_to_termination_currency.date_of_agreement,1
answers.partyA.collateral_management_agreement.partyA_specify,6
answers.partyA.canada.partyA_security_taker,6
answers.partyA.switzerland.partyB_secured_party,6
answers.partyA.ce_end_date.date_of_timely_statement,8
answers.partyA.ce_end_date.specify_timely_days,1
answers.partyA.sec.partyA_obligee,6
answers.partyA.japan.partyA_obligee,6
answers.partyA.obligor_additional_rights_event.applicable,6
answers.partyA.emir.partyA_secured_party,6
answers.partyA.notification_time.partyA_notification_time,18
answers.partyA.access_conditions.partyB_illegality,18
answers.partyA.obligor_posting_obligations.partyA_type,4
answers.partyA.threshold.partyA_currency,6
answers.partyA.enforcement_event.paid_in_full_language,1
answers.partyA.cme_end_date.timely_days_type,4
answers.partyA.japanese_securities_provisions.amendments_specify,1
answers.partyA.cme_end_date.after_specify,2
answers.partyA.chargor_posting_obligations.partyA_additional_language,2
answers.partyA.amendments.specify,3
answers.partyA.collateral_valuation_agent.partyB_specify,1
answers.partyA.resolution_time.specified,18
answers.partyA.clearstream_agreements_as_credit_support_documents.definition,2
answers.partyA.emir.partyB_security_taker_specify,1
answers.partyA.japanese_securities_provisions.is_applicable,7
answers.partyA.minimum_transfer_amount.partyB_amount,1
answers.partyA.calculation_date_location.partyB_calculation_date_location,12
answers.partyA.canada.additional_type_specify,1
answers.partyA.canada.partyA_obligee,6
answers.partyA.emir.partyB_secured_party,6
answers.partyA.cme_end_date.release_date,6
answers.partyA.other_provisions.specify,2
answers.partyA.sec.partyA_secured_party,6
