Mapping Coverage,92.22

Input Path,Failed Mapping Count
Body.OTC_Matching.Trade.FpML.party.partyId.partyIdScheme,4
Header.OTC_RM.Manifest.TradeMsg.ProductType,3
Body.OTC_Matching.Trade.FpML.trade.creditDefaultSwap.generalTerms.referenceInformation.referenceEntity.entityId,3
Body.OTC_Matching.Trade.FpML.trade.creditDefaultSwap.protectionTerms.calculationAmount.id,3
Body.OTC_Matching.Trade.FpML.trade.documentation.contractualMatrix.publicationDate,2
Body.OTC_Matching.Trade.FpML.trade.creditDefaultSwap.generalTerms.additionalTerm.additionalTermScheme,1
Body.OTC_Matching.Trade.FpML.trade.documentation.masterAgreement.masterAgreementVersion.masterAgreementVersionScheme,3
Body.OTC_Matching.Trade.FpML.trade.creditDefaultSwap.generalTerms.referenceInformation.referenceEntity.entityId.entityIdScheme,3
