File Name,Result,Input Path,Indexless Input Path,Unmappable CDM Path Count,Unmappable CDM Paths,Reason For Failure
cdm-sample-files/dtcc-11-0/DDL_NewTrade1.xml,Fail_MappedNone,"Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.documentation.contractualMatrix.publicationDate","Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.documentation.contractualMatrix.publicationDate",0,,Element with value 2005-03-07 could not be mapped to a rosettaField
cdm-sample-files/dtcc-11-0/DDL_NewTrade1.xml,Fail_MappedNone,"Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.documentation.masterAgreement.masterAgreementVersion[masterAgreementVersionScheme=http://www.fpml.org/coding-scheme/master-agreement-version].masterAgreementVersionScheme","Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.documentation.masterAgreement.masterAgreementVersion[masterAgreementVersionScheme=http://www.fpml.org/coding-scheme/master-agreement-version].masterAgreementVersionScheme",0,,Element with value http://www.fpml.org/coding-scheme/master-agreement-version could not be mapped to a rosettaField
cdm-sample-files/dtcc-11-0/DDL_NewTrade1.xml,Fail_MappedMultiple,"Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.creditDefaultSwap.feeLeg.singlePayment.fixedAmount.amount","Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.creditDefaultSwap.feeLeg.singlePayment.fixedAmount.amount",2,WorkflowStep.proposedEvent.instruction(0).before.value.transferHistory(0).transfer.deliverableQuantity.value=[67000] WorkflowStep.proposedEvent.instruction(0).before.value.transferHistory(0).transfer.notionalQuantity.value=[67000],Element mapped to multiple rosettaFields
cdm-sample-files/dtcc-11-0/DDL_NewTrade1.xml,Fail_MappedMultiple,"Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.creditDefaultSwap.protectionTerms.calculationAmount[id=calculationAmount].id","Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.creditDefaultSwap.protectionTerms.calculationAmount[id=calculationAmount].id",2,WorkflowStep.proposedEvent.instruction(0).before.value.trade.product.economicTerms.payout(1).InterestRatePayout.priceQuantity.meta.externalKey=[calculationAmount] WorkflowStep.proposedEvent.instruction(0).before.value.trade.product.economicTerms.payout(0).CreditDefaultPayout.priceQuantity.meta.externalKey=[calculationAmount],Element mapped to multiple rosettaFields
cdm-sample-files/dtcc-11-0/DDL_NewTrade1.xml,Fail_MappedNone,"Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.creditDefaultSwap.generalTerms.additionalTerm[additionalTermScheme=http://derivserv.dtcc.com/coding-scheme/additional-term].additionalTermScheme","Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd        http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.creditDefaultSwap.generalTerms.additionalTerm[additionalTermScheme=http://derivserv.dtcc.com/coding-scheme/additional-term].additionalTermScheme",0,,Element with value http://derivserv.dtcc.com/coding-scheme/additional-term could not be mapped to a rosettaField
cdm-sample-files/dtcc-11-0/DDL_NewTrade1.xml,Fail_MappedNone,Header.OTC_RM.Manifest.TradeMsg.ProductType,Header.OTC_RM.Manifest.TradeMsg.ProductType,0,,Element with value CreditDefaultSwapShort could not be mapped to a rosettaField
cdm-sample-files/dtcc-11-0/DDL_NewTrade2.xml,Fail_MappedNone,"Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd         http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.creditDefaultSwapOption.europeanExercise.earliestExerciseTime.businessCenter","Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd         http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.creditDefaultSwapOption.europeanExercise.earliestExerciseTime.businessCenter",0,,Element with value NONE could not be mapped to a rosettaField
cdm-sample-files/dtcc-11-0/DDL_NewTrade2.xml,Fail_MappedNone,"Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd         http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.documentation.masterAgreement.masterAgreementVersion[masterAgreementVersionScheme=http://www.fpml.org/coding-scheme/master-agreement-version].masterAgreementVersionScheme","Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd         http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].trade.documentation.masterAgreement.masterAgreementVersion[masterAgreementVersionScheme=http://www.fpml.org/coding-scheme/master-agreement-version].masterAgreementVersionScheme",0,,Element with value http://www.fpml.org/coding-scheme/master-agreement-version could not be mapped to a rosettaField
cdm-sample-files/dtcc-11-0/DDL_NewTrade2.xml,Fail_MappedMultiple,"Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd         http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].party(0)[id=DTCC00001234].partyId(1)[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme","Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd         http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].party[id=DTCC00001234].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme",2,"WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(0).partyId(1).identifierType=[LEI]
WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(0).partyId(1).identifier.meta.scheme=[DTCC, http://www.fpml.org/coding-scheme/external/iso17442]",Element mapped to multiple rosettaFields
cdm-sample-files/dtcc-11-0/DDL_NewTrade2.xml,Fail_MappedMultiple,"Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd         http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].party(1)[id=DTCC00005678].partyId(1)[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme","Body.OTC_Matching.Trade.FpML[schemaLocation=http://www.fpml.org/2010/FpML-4-9 ../../schemas/fpml-4-9/fpml-main-4-9.xsd         http://www.w3.org/2000/09/xmldsig# ../../schemas/fpml-4-9/xmldsig-core-schema.xsd,type=RequestTradeConfirmation,version=4-9].party[id=DTCC00005678].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme",2,"WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(1).partyId(1).identifierType=[LEI]
WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(1).partyId(1).identifier.meta.scheme=[DTCC, http://www.fpml.org/coding-scheme/external/iso17442]",Element mapped to multiple rosettaFields
