File Name,Result,Input Path,Indexless Input Path,Unmappable CDM Path Count,Unmappable CDM Paths,Reason For Failure
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(0).reportingRegime(1).partyEntityClassification(1).entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/sec-entity-classification].entityClassificationScheme,trade.tradeHeader.partyTradeInformation.reportingRegime.partyEntityClassification.entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/sec-entity-classification].entityClassificationScheme,0,,Element with value http://www.fpml.org/coding-scheme/sec-entity-classification could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Fail_MappedNone,trade.tradeHeader.partyTradeIdentifier(1).resultingTradeId(2).issuer[issuerIdScheme=http://www.fpml.org/coding-scheme/external/cftc/issuer-identifier].issuerIdScheme,trade.tradeHeader.partyTradeIdentifier.resultingTradeId.issuer[issuerIdScheme=http://www.fpml.org/coding-scheme/external/cftc/issuer-identifier].issuerIdScheme,0,,Element with value http://www.fpml.org/coding-scheme/external/cftc/issuer-identifier could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Fail_MappedMultiple,party(8)[id=executing_agent].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,party[id=executing_agent].partyId[partyIdScheme=http://www.fpml.org/coding-scheme/external/iso17442].partyIdScheme,2,WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(8).partyId(0).identifierType=[LEI] WorkflowStep.proposedEvent.instruction(0).before.value.trade.party(8).partyId(0).identifier.meta.scheme=[http://www.fpml.org/coding-scheme/external/iso17442],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Fail_MappedNone,party(0)[id=party1].classification,party[id=party1].classification,0,,Element with value InvestmentFirm could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(0).reportingRegime(0).name,trade.tradeHeader.partyTradeInformation.reportingRegime.name,0,,Element with value DoddFrankAct could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(0).partyReference[href=party1].href,trade.tradeHeader.partyTradeInformation.partyReference[href=party1].href,0,,Element with value party1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Success,trade.tradeHeader.partyTradeInformation(0).relatedParty(2).role,trade.tradeHeader.partyTradeInformation.relatedParty.role,1,"WorkflowStep.proposedEvent.instruction(0).before.value.trade.partyRole.role=[AllocationAgent, ClearingOrganization, CounterPartyAffiliate, CounterPartyUltimateParent, Counterparty, DisputingParty, ExecutingBroker, ExecutionFacility, PriorTradeRepository, ReportingParty, ReportingPartyAffiliate, ReportingPartyUltimateParent]",had no destination
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(0).reportingRegime(3).partyEntityClassification(3).entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/csa-local-party-status-entity-classification],trade.tradeHeader.partyTradeInformation.reportingRegime.partyEntityClassification.entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/csa-local-party-status-entity-classification],0,,Element with value NonLocalParty could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(0).reportingRegime(1).partyEntityClassification(0).partyReference[href=party1].href,trade.tradeHeader.partyTradeInformation.reportingRegime.partyEntityClassification.partyReference[href=party1].href,0,,Element with value party1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/processes/msg-cleared-alpha-trade-CFTC-SEC-and-canada.xml,Fail_MappedNone,trade.tradeHeader.partyTradeInformation(0).reportingRegime(1).partyEntityClassification(0).entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/sec-entity-classification],trade.tradeHeader.partyTradeInformation.reportingRegime.partyEntityClassification.entityClassification[entityClassificationScheme=http://www.fpml.org/coding-scheme/sec-entity-classification],0,,Element with value SBSD could not be mapped to a rosettaField
