File Name,Result,Input Path,Indexless Input Path,Unmappable CDM Path Count,Unmappable CDM Paths,Reason For Failure
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(0)[id=d1].unadjustedEndDate[id=e1].id,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d1].unadjustedEndDate[id=e1].id,0,,Element with value e1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,header.inReplyTo[messageIdScheme=http://www.example.com/messageId],header.inReplyTo[messageIdScheme=http://www.example.com/messageId],0,,Element with value MS/2006/04/07/15-99 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,trade.dividendSwapTransactionSupplement.fixedLeg.fixedPayment(1).paymentDate.dateRelativeTo[href=p1].href,trade.dividendSwapTransactionSupplement.fixedLeg.fixedPayment.paymentDate.dateRelativeTo[href=p1].href,0,,Element with value p1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Success,trade.dividendSwapTransactionSupplement.dividendLeg.underlyer.singleUnderlyer.index.relatedExchangeId(1),trade.dividendSwapTransactionSupplement.dividendLeg.underlyer.singleUnderlyer.index.relatedExchangeId,2,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPayoutRatio(0).basketConstituent.index.relatedExchangeId.value=[XMAT] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).underlier.index.relatedExchangeId.value=[XMAT],Element mapped to already populated field
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,trade.dividendSwapTransactionSupplement.fixedLeg.fixedPayment(0).paymentDate.dateRelativeTo[href=p1].href,trade.dividendSwapTransactionSupplement.fixedLeg.fixedPayment.paymentDate.dateRelativeTo[href=p1].href,0,,Element with value p1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedMultiple,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(1)[id=d2].paymentDate[id=p2].relativeDate.dateRelativeTo[href=e2].href,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d2].paymentDate[id=p2].relativeDate.dateRelativeTo[href=e2].href,2,"TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(1).settlementTerms.settlementDate.adjustableOrRelativeDate.relativeDate.dateRelativeTo.externalReference=[e1, e2]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPeriod(1).dividendPaymentDate.dividendDate.value.relativeDate.dateRelativeTo.externalReference=[e1, e2]",Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedMultiple,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(0)[id=d1].paymentDate[id=p1].id,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d1].paymentDate[id=p1].id,3,"TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(0).paymentDates.paymentFrequency.meta.externalKey=[p1, p2]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPeriod(0).dividendPaymentDate.dividendDate.value.meta.externalKey=[p1, p2]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(0).paymentDates.paymentDatesAdjustments.meta.externalKey=[p1, p2]",Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedMultiple,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(1)[id=d2].paymentDate[id=p2].id,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d2].paymentDate[id=p2].id,3,"TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(1).paymentDates.paymentDatesAdjustments.meta.externalKey=[p1, p2]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPeriod(1).dividendPaymentDate.dividendDate.value.meta.externalKey=[p1, p2]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(1).paymentDates.paymentFrequency.meta.externalKey=[p1, p2]",Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,header.sentBy,header.sentBy,0,,Element with value PARTYABICXXX could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,header.messageId[messageIdScheme=http://www.example.com/messageId].messageIdScheme,header.messageId[messageIdScheme=http://www.example.com/messageId].messageIdScheme,0,,Element with value http://www.example.com/messageId could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedMultiple,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(1)[id=d2].paymentDate[id=p2].relativeDate.businessDayConvention,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d2].paymentDate[id=p2].relativeDate.businessDayConvention,2,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPeriod(1).dividendPaymentDate.dividendDate.value.relativeDate.businessDayConvention=[FOLLOWING] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(1).settlementTerms.settlementDate.adjustableOrRelativeDate.relativeDate.businessDayConvention=[FOLLOWING],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,header.creationTimestamp,header.creationTimestamp,0,,Element with value 2006-07-02T16:38:00Z could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedMultiple,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(0)[id=d1].paymentDate[id=p1].relativeDate.businessDayConvention,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d1].paymentDate[id=p1].relativeDate.businessDayConvention,2,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPeriod(0).dividendPaymentDate.dividendDate.value.relativeDate.businessDayConvention=[FOLLOWING] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(0).settlementTerms.settlementDate.adjustableOrRelativeDate.relativeDate.businessDayConvention=[FOLLOWING],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(1)[id=d2].unadjustedEndDate[id=e2].id,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d2].unadjustedEndDate[id=e2].id,0,,Element with value e2 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,header.sendTo,header.sendTo,0,,Element with value PARTYBBICXXX could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedMultiple,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(0)[id=d1].paymentDate[id=p1].relativeDate.dateRelativeTo[href=e1].href,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d1].paymentDate[id=p1].relativeDate.dateRelativeTo[href=e1].href,2,"TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(0).settlementTerms.settlementDate.adjustableOrRelativeDate.relativeDate.dateRelativeTo.externalReference=[e1, e2]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPeriod(0).dividendPaymentDate.dividendDate.value.relativeDate.dateRelativeTo.externalReference=[e1, e2]",Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,correlationId[correlationIdScheme=http://www.example.com/conversationId],correlationId[correlationIdScheme=http://www.example.com/conversationId],0,,Element with value CW/2006/07/02/123 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,correlationId[correlationIdScheme=http://www.example.com/conversationId].correlationIdScheme,correlationId[correlationIdScheme=http://www.example.com/conversationId].correlationIdScheme,0,,Element with value http://www.example.com/conversationId could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,header.messageId[messageIdScheme=http://www.example.com/messageId],header.messageId[messageIdScheme=http://www.example.com/messageId],0,,Element with value MS/2006/07/04/15-99 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,sequenceNumber,sequenceNumber,0,,Element with value 1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex01-dividend-swap.xml,Fail_MappedNone,header.inReplyTo[messageIdScheme=http://www.example.com/messageId].messageIdScheme,header.inReplyTo[messageIdScheme=http://www.example.com/messageId].messageIdScheme,0,,Element with value http://www.example.com/messageId could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Fail_MappedNone,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(0)[id=d1].unadjustedEndDate[id=e1].id,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d1].unadjustedEndDate[id=e1].id,0,,Element with value e1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Fail_MappedNone,header.inReplyTo[messageIdScheme=http://www.example.com/messageId],header.inReplyTo[messageIdScheme=http://www.example.com/messageId],0,,Element with value MS/2006/04/07/15-99 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Fail_MappedNone,trade.dividendSwapTransactionSupplement.fixedLeg.fixedPayment(1).paymentDate.dateRelativeTo[href=p1].href,trade.dividendSwapTransactionSupplement.fixedLeg.fixedPayment.paymentDate.dateRelativeTo[href=p1].href,0,,Element with value p1 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Success,trade.dividendSwapTransactionSupplement.dividendLeg.underlyer.singleUnderlyer.index.relatedExchangeId(1)[exchangeIdScheme=http://www.fpml.org/schemes/4-1/exchangeId],trade.dividendSwapTransactionSupplement.dividendLeg.underlyer.singleUnderlyer.index.relatedExchangeId[exchangeIdScheme=http://www.fpml.org/schemes/4-1/exchangeId],2,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPayoutRatio(0).basketConstituent.index.relatedExchangeId.value=[XMAT] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).underlier.index.relatedExchangeId.value=[XMAT],Element mapped to already populated field
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Fail_MappedNone,header.sentBy,header.sentBy,0,,Element with value PARTYABICXXX could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Success,trade.dividendSwapTransactionSupplement.dividendLeg.underlyer.singleUnderlyer.index.relatedExchangeId(1)[exchangeIdScheme=http://www.fpml.org/schemes/4-1/exchangeId].exchangeIdScheme,trade.dividendSwapTransactionSupplement.dividendLeg.underlyer.singleUnderlyer.index.relatedExchangeId[exchangeIdScheme=http://www.fpml.org/schemes/4-1/exchangeId].exchangeIdScheme,2,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).underlier.index.relatedExchangeId.meta.scheme=[http://www.fpml.org/schemes/4-1/exchangeId] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPayoutRatio(0).basketConstituent.index.relatedExchangeId.meta.scheme=[http://www.fpml.org/schemes/4-1/exchangeId],Element mapped to already populated field
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Fail_MappedMultiple,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(0)[id=d1].paymentDate[id=p1].relativeDate.businessDayConvention,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d1].paymentDate[id=p1].relativeDate.businessDayConvention,2,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPeriod(0).dividendPaymentDate.dividendDate.value.relativeDate.businessDayConvention=[FOLLOWING] TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(0).settlementTerms.settlementDate.adjustableOrRelativeDate.relativeDate.businessDayConvention=[FOLLOWING],Element mapped to multiple rosettaFields
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Fail_MappedNone,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(1)[id=d2].unadjustedEndDate[id=e2].id,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d2].unadjustedEndDate[id=e2].id,0,,Element with value e2 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Fail_MappedNone,header.sendTo,header.sendTo,0,,Element with value PARTYBBICXXX could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/products/dividend-swaps/div-ex02-dividend-swap-collateral.xml,Fail_MappedMultiple,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod(0)[id=d1].paymentDate[id=p1].relativeDate.dateRelativeTo[href=e1].href,trade.dividendSwapTransactionSupplement.dividendLeg.dividendPeriod[id=d1].paymentDate[id=p1].relativeDate.dateRelativeTo[href=e1].href,2,"TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.fixedPricePayout(0).settlementTerms.settlementDate.adjustableOrRelativeDate.relativeDate.dateRelativeTo.externalReference=[e1, e2]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.performancePayout(0).returnTerms.dividendReturnTerms.dividendPeriod(0).dividendPaymentDate.dividendDate.value.relativeDate.dateRelativeTo.externalReference=[e1, e2]",Element mapped to multiple rosettaFields
