File Name,Result,Input Path,Indexless Input Path,Unmappable CDM Path Count,Unmappable CDM Paths,Reason For Failure
cdm-sample-files/fpml-5-10/invalid-products/AdditionalFixedPayments_mortgages.xml,Success,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.mortgage.instrumentId(1)[instrumentIdScheme=http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0],trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.mortgage.instrumentId[instrumentIdScheme=http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0],2,"TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.generalTerms.referenceInformation.referenceObligation(0).security.productIdentifier(0).value.identifier.value=[NCHET 2005-4, 64352VNC1]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.generalTerms.referenceInformation.referenceObligation(0).security.productIdentifier(2).value.identifier.value=[NCHET 2005-4, 64352VNC1]",Element mapped to already populated field
cdm-sample-files/fpml-5-10/invalid-products/AdditionalFixedPayments_mortgages.xml,Success,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.mortgage.instrumentId(1)[instrumentIdScheme=http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0].instrumentIdScheme,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.mortgage.instrumentId[instrumentIdScheme=http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0].instrumentIdScheme,2,"TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.generalTerms.referenceInformation.referenceObligation(0).security.productIdentifier(2).value.identifier.meta.scheme=[http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0, http://www.fpml.org/spec/2002/instrument-id-CUSIP-1-0]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.generalTerms.referenceInformation.referenceObligation(0).security.productIdentifier(0).value.identifier.meta.scheme=[http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0, http://www.fpml.org/spec/2002/instrument-id-CUSIP-1-0]",Element mapped to already populated field
cdm-sample-files/fpml-5-10/invalid-products/CalculationPeriodDates_firstCompoundingPeriodEndDate.xml,Success,trade.swap.swapStream(1)[id=floatingLeg2].calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream[id=floatingLeg2].calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(1).observable.rateOption.value.floatingRateIndex.value=[EUR-EONIA-OIS-COMPOUND],Element EUR-EONIA-OIS-COMPOUND could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@50c0f361
cdm-sample-files/fpml-5-10/invalid-products/CalculationPeriod_choice4.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[EUR-LIBOR-BBA],Element EUR-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@64874835
cdm-sample-files/fpml-5-10/invalid-products/FloatingAmountEvents_mortgages.xml,Success,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.mortgage.instrumentId(1)[instrumentIdScheme=http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0],trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.mortgage.instrumentId[instrumentIdScheme=http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0],2,"TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.generalTerms.referenceInformation.referenceObligation(0).security.productIdentifier(0).value.identifier.value=[NCHET 2005-4, 64352VNC1]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.generalTerms.referenceInformation.referenceObligation(0).security.productIdentifier(2).value.identifier.value=[NCHET 2005-4, 64352VNC1]",Element mapped to already populated field
cdm-sample-files/fpml-5-10/invalid-products/FloatingAmountEvents_mortgages.xml,Success,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.mortgage.instrumentId(1)[instrumentIdScheme=http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0].instrumentIdScheme,trade.creditDefaultSwap.generalTerms.referenceInformation.referenceObligation.mortgage.instrumentId[instrumentIdScheme=http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0].instrumentIdScheme,2,"TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.generalTerms.referenceInformation.referenceObligation(0).security.productIdentifier(2).value.identifier.meta.scheme=[http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0, http://www.fpml.org/spec/2002/instrument-id-CUSIP-1-0]
TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.generalTerms.referenceInformation.referenceObligation(0).security.productIdentifier(0).value.identifier.meta.scheme=[http://www.fpml.org/spec/2002/instrument-id-Bloomberg-1-0, http://www.fpml.org/spec/2002/instrument-id-CUSIP-1-0]",Element mapped to already populated field
cdm-sample-files/fpml-5-10/invalid-products/FpML_cd_27-2.xml,Fail_MappedNone,trade.creditDefaultSwap.feeLeg.initialPayment.adjustedPaymentDate,trade.creditDefaultSwap.feeLeg.initialPayment.adjustedPaymentDate,0,,Element with value 2023-01-02 could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/invalid-products/FpML_cd_44.xml,Success,trade.creditDefaultSwap.protectionTerms(1)[id=protectionTermsTwo].calculationAmount.amount,trade.creditDefaultSwap.protectionTerms[id=protectionTermsTwo].calculationAmount.amount,1,"TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(2).quantity(0).value.amount=[25000000, 10000000]",Element mapped to already populated field
cdm-sample-files/fpml-5-10/invalid-products/FpML_cd_44.xml,Success,trade.creditDefaultSwap.cashSettlementTerms(1)[id=settlementTermsTwo].settlementCurrency,trade.creditDefaultSwap.cashSettlementTerms[id=settlementTermsTwo].settlementCurrency,1,TradeState.trade.tradableProduct.product.contractualProduct.economicTerms.payout.creditDefaultPayout.settlementTerms.settlementCurrency.value=[USD],Element mapped to already populated field
cdm-sample-files/fpml-5-10/invalid-products/FpML_cd_44.xml,Fail_MappedNone,trade.creditDefaultSwap.cashSettlementTerms(0)[id=settlementTermsOne].id,trade.creditDefaultSwap.cashSettlementTerms[id=settlementTermsOne].id,0,,Element with value settlementTermsOne could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/invalid-products/FpML_cd_44.xml,Fail_MappedNone,trade.creditDefaultSwap.cashSettlementTerms(1)[id=settlementTermsTwo].id,trade.creditDefaultSwap.cashSettlementTerms[id=settlementTermsTwo].id,0,,Element with value settlementTermsTwo could not be mapped to a rosettaField
cdm-sample-files/fpml-5-10/invalid-products/FpML_ird_21_payoutEffectiveDate.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[EUR-LIBOR-BBA],Element EUR-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@6b3ea0ff
cdm-sample-files/fpml-5-10/invalid-products/FpML_ird_29_FpML_ird_9.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[EUR-LIBOR-BBA],Element EUR-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@df77ed6
cdm-sample-files/fpml-5-10/invalid-products/FpML_ird_30.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[EUR-LIBOR-BBA],Element EUR-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@3026aab2
cdm-sample-files/fpml-5-10/invalid-products/FpML_ird_35_cd_31.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[EUR-LIBOR-BBA],Element EUR-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@3c58ba98
cdm-sample-files/fpml-5-10/invalid-products/FpML_ird_6.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[EUR-LIBOR-BBA],Element EUR-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@492726e8
cdm-sample-files/fpml-5-10/invalid-products/FpML_ird_7_1.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[USD-LIBOR-BBA],Element USD-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@5073a8ec
cdm-sample-files/fpml-5-10/invalid-products/FpML_ird_7_2-distinct-within-the-leg.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[USD-LIBOR-BBA],Element USD-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@1f5efda
cdm-sample-files/fpml-5-10/invalid-products/FpML_ird_9_ResetDates_interestRateSwap.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[USD-LIBOR-BBA],Element USD-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@227bdd81
cdm-sample-files/fpml-5-10/invalid-products/PaymentDates_paymentDaysOffset.xml,Success,trade.swap.swapStream(0).calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,1,TradeState.trade.tradableProduct.tradeLot(0).priceQuantity(0).observable.rateOption.value.floatingRateIndex.value=[EUR-LIBOR-BBA],Element EUR-LIBOR-BBA could not be parsed as a tradeState.cdm.base.staticdata.asset.rates.InflationRateIndexEnumParseHandler@7cb43a56
