Mapping Coverage,98.83

Input Path,Failed Mapping Count
trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,41
trade.fra.fraDiscounting,1
trade.swap.additionalPayment.id,1
trade.swaption.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,5
trade.otherPartyPayment.receiverPartyReference.href,1
trade.fra.floatingRateIndex,2
trade.swap.swapStream.calculationPeriodAmount.calculation.floatingRateCalculation.spreadSchedule.initialValue,1
trade.capFloor.capFloorStream.calculationPeriodAmount.calculation.floatingRateCalculation.floatingRateIndex,3
